English,French
Theme,Thème
Department,Ministère
Title,Titre
Content Type(s),Type(s) de contenu
H2,H2
Keywords,Mots-clés
Modified Date,Date de modification
Language,langue
AEM Content Type,Type de contenu AEM
Page Performance,Performance de la page
Comments,Commentaires
URL,URL
Language,Langue
Title,Titre
Has Alert,Contient une alerte
H2,H2
Breadcrumb LVL2 Name,Nom du fil d'Ariane (niveau 2)
Breadcrumb LVL2 URL,
Breadcrumb LVL3 Name,
Breadcrumb LVL3 URL,
Breadcrumb LVL4 Name,
Breadcrumb LVL4 URL,
Last Modified,Modifié le
Last Crawled,
Author,Auteur
dcterms.subject,
dcterms.audience,
dcterms.type,
desc,
Name,Nom
Page title,Titre de page
H1,
Language (jcr:language),
Page path,
Opposite language page title,
Opposite language page path,
Hide in navigation,
Show left navigation menu,
Breadcrumb parent,
Date created,
Date issued,
Last Modified date,
Last Modified by,
Date modified overridden,
Date modified override,
Last Published date,
Last Published by,
Last Unpublished date,
Last Unpublished by,
Review date,
Owner organization name,
Publisher organization name,
Licence,
Description,Description
Primary topic,
Additional topics,
Content type,
Audience,Clientèle
Geographic region name,
Subject,
Minister,
Free subject,
Contributor,
Content provider,
ISBN,
ISSN,
Departmental catalogue number,
Template,
Public path,
Locked by,
gcLanguage,
showRightRail,
No index,
No follow,
Navigation title,
Open graph image,
Open graph image alt text,
New Page,Nouvelle page
