Theme/Org English,Theme/Org French,URLs
Canada Border Services Agency,Agence des services frontaliers du Canada,www.cbsa-asfc.gc.ca
Canadian Army,Armée canadienne,www.army-armee.forces.gc.ca
TERMIUM Plus,TERMIUM Plus,www.btb.termiumplus.gc.ca
Global Affairs Canada,Affaires mondiales Canada,www.international.gc.ca
Royal Canadian Air Force,l'Aviation royale canadienne,www.rcaf-arc.forces.gc.ca
Canadian Anti-Fraud Centre,Centre antifraude du Canada,antifraudcentre-centreantifraude.ca
Royal Canadian Mounted Police,Gendarmerie royale du Canada,dawsoncreek.bc.rcmp-grc.gc.ca
Natural Resources Canada,Ressources naturelles Canada,www.nrcan.gc.ca
Correctional Service Canada,Service correctionnel Canada,www.csc-scc.gc.ca
impact Canada,impact Canada,impact.canada.ca
Royal Canadian Navy,Marine royale canadienne,www.navy-marine.forces.gc.ca
Orders in Council,Décrets,decrets.canada.ca
Canada Savings Bonds,N/A,www.csb.gc.ca
Government of Canada Publications,Publications du gouvernement du Canada,publications.gc.ca
N/A,Je veux,www.cchst.ca
N/A,N/A,design.canada.ca
Competition Bureau Canada,N/A,www.competitionbureau.gc.ca
Government of Canada,Gouvernement du Canada,www.cic.gc.ca
N/A,N/A,surrey.rcmp-grc.gc.ca
"Canadian Police College<br><span class=""lead"">Home</span>","Collège canadien de police<br><span class=""lead"">Accueil</span>",www.cpc.gc.ca
N/A,N/A,nrc.canada.ca
N/A,Santé,sante.canada.ca
N/A,Infobase de la santé publique,sante-infobase.canada.ca
I WANT TO,N/A,www.ccohs.ca
N/A,N/A,northcowichan-duncan.bc.rcmp-grc.gc.ca
Government of Canada,Gouvernement du Canada,fin.canada.ca
"EduCanada
<br> <span class=""font-xsmall margin-top-small"">A world of possibilites</span>","Ã‰duCanada
<br> <span class=""font-xsmall"" lang=""fr"">Un monde de possibilitÃ©s</span>",www.educanada.ca
Canada Energy Regulator,Régie de l’énergie du Canada,www.cer-rec.gc.ca
Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,www.inspection.gc.ca
Public Safety Canada,Sécurité publique Canada,www.publicsafety.gc.ca
Government of Canada,Gouvernement du Canada,gazette.gc.ca
N/A,N/A,conception.canada.ca
Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,www.nserc-crsng.gc.ca
Guide to Services,N/A,cnphi.canada.ca
Government of Canada,Gouvernement du Canada,www.gazette.gc.ca
N/A,N/A,cb.rcmp-grc.gc.ca
Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,www.fintrac-canafe.gc.ca
Développement économique Canada pour les régions du Québec,Canada Economic Development for Quebec Regions,dec.canada.ca
Canadian Institutes<br>of Health Research,Instituts de recherche<br>en santé du Canada,cihr-irsc.gc.ca
N/A,Guide des services,rcrsp.canada.ca
Government of Canada,Gouvernement du Canada,gazetteducanada.gc.ca
N/A,N/A,sidney.rcmp-grc.gc.ca
N/A,N/A,grainscanada.gc.ca
Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines,www.sshrc-crsh.gc.ca
Canadian Forces College,Collège des Forces canadiennes,www.cfc.forces.gc.ca
Statistics Canada,Statistique Canada,www.statcan.gc.ca
"Avalanche warnings for Tuesday, March 31, 2020",N/A,avalanche.pc.gc.ca
Government of Canada,Gouvernement du Canada,www.agr.gc.ca
N/A,Voyage et tourisme,voyage.gc.ca
N/A,N/A,cnrc.canada.ca
Travel and tourism,N/A,travel.gc.ca
N/A,Santé,www.canadiensensante.gc.ca
Office of the Veterans Ombudsman,Bureau de l’ombudsman<br> des vétérans,www.veterans-ombudsman.gc.ca
N/A,N/A,richmond.rcmp-grc.gc.ca
Parcs Canada,Parks Canada,www.pc.gc.ca
Canada's International Gateway,Le portail international du Canada,www.canadainternational.gc.ca
"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",www.ic.gc.ca
N/A,N/A,www.elections.ca
Royal Canadian Mounted Police,Gendarmerie royale du Canada,www.rcmp-grc.gc.ca
Indian Oil and Gas Canada,Pétrole et gaz des Indiens du Canada,pgic-iogc.gc.ca
Disclaimer,How to Obtain Certified Copies,orders-in-council.canada.ca
Canadian Dairy Information Centre,Centre canadien d'information laitière,www.dairyinfo.gc.ca
Government of Canada,Gouvernement du Canada,marquecanadabrand.agr.gc.ca
Justice Laws Website,Site Web de la législation (Justice),laws.justice.gc.ca
Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,inspection.gc.ca
Department of Justice,Ministère de la Justice,www.justice.gc.ca
N/A,N/A,bc.rcmp-grc.gc.ca
Health,N/A,www.healthycanadians.gc.ca
N/A,N/A,coquitlam.rcmp-grc.gc.ca
Government of Canada,Gouvernement du Canada,www1.canada.ca
Canadian Centre for Cyber Security,Centre canadien pour la cybersécurité,www.cyber.gc.ca
